Movie,Genres,Review_Text,Rating
Civil War,"Adventure, Action, Science Fiction",watching thought avenger believed got title wrong watched im still look like captain america film never wa dominated calling film totally inappropriate technically third avenger film well done liked wa entertaining civil war mean nothing nation war within superguys fight kind administration want come think heard people complaint blowing building reviewing film bringing one finger pointed event narration one reason civil war take place particularly disturbing public loss many life powerful men fighting bad guy fun part street important confrontation film deserted airfield doe make people whining happy dont know entertaining film everything give best viewer like title poster reveal hero divided probably youre going take side like usual im stark youre like would feel annoyance opposite team particularly like antman obviously captain america rebellious decision wa like world versus united state american behind captain america anyway like dividing fan film ha serious damage hope fan wont take seriously,8.0
Civil War,"Adventure, Action, Science Fiction",recently quite liked marvel movie watched sadly like movie reason doe get zero one star rating cool special effect laugh want hero hero unfortunately movie get wrong foot right away incriminating avenger eye dimwit politician putting surveillance political body make matter worse useless black hole taxpayer money theunited nation supposed surveil pretty much ruined movie right away though could get worse actually doe true hollywood fashion avenger start bicker fight among redeeming qualitiesof movieis great special effect fun comment made laugh time time even ending pretty crappy avenger remaining divided main bad guy feeling achieved wanted technically really anything wrong movie actor good filming good wrote special effect great story however cup tea put mildly cannot express much despised story movie,4.0
Civil War,"Adventure, Action, Science Fiction",good movie love captain american,9.0
Civil War,"Adventure, Action, Science Fiction",long form review originally posted commonplace need one viewing really nail feeling movie thats particularly true mcu even particular film said initial reaction often case hard write comprehensive post film early remaining totally spoilerfree starter ill go ahead ask thing wa mind five minute want know two guy filmography firmly rooted sitcom thing manage direct action spectacularly honestly insane one strongest mcu film opinion like felt mostly like follow prior film prior film feel sequel said film said might lean little far side sequel little light sequel pick lead would steve rogers mistake doe feel like film painted broad brush characterisation solely movie considering sheer scope piece amazing russo brother managed get ball rolling well even couple role felt could cut altogether without really impacting story time could perhaps used serve underrepresented puzzle piece perhaps inclusion place lack inclusion others plan future mcu film though certainly instance use excuse either way im hunting flaw degree one say ups mostly ups worthy entrant marvel franchise perhaps even importantly actually even address problem left course acting board primary action setpiece dumbfoundingly fun evolution mythology mesh universe large may favourite superhero movie even favourite mcu movie mean also might think need give least another two watch sure might best comic book adaptation movie dont mean accurately portrayed event marvel civil war event back thats even close true mean many instance manage capture spirit comic almost feel like watching one unfold screen glorious squillion dollar two half hour comic book oh yeah new superheroes introduced theyve got pretty bloody excited,8.0
Civil War,"Adventure, Action, Science Fiction",captain america movie managed ground mcu exploring political social climate created avenger existence action consequence consequence influence action civil war isnt focused winter soldier also overstuffed character fan service however movie work always intriguing side conflict portrayed equally valid exploration superhero accountability isnt anything new explored watchman dark knight nice see incorporated grand cinematic universe also captain zemo better average villain underdeveloped motive interesting destroy world also spiderman finally mcu,7.0
Civil War,"Adventure, Action, Science Fiction",awesome new favourite far least absolute joy captain america civil war made minute feel like much le great action enthralling story sharp humour impeccable use many many character even introducing two new face mcu wont spoil massive addition love give give perfect amount screen time involved noone wanted see le felt natural big kudos chris evans terrific best performance captain america thus far opinion robert downey jr continues impress expected sebastian stan bucky also stick didnt love character preceding appearance really connect story anthony mackie cheadle remain good fun daniel brhl play role nicely elsewhere paul rudd inclusion amusing whole film normal production look stunning incredibly well made noted top new favourite mcu surpassing captain america first avenger guess hiding standout avenger eh title practically avenger film im saying illfitting title get titular character arc feel like doe film slight disservice impact much captain america thats big deal though doubt mind superb,9.0
Civil War,"Adventure, Action, Science Fiction",wow first thing come mind insanely good movie plus introduction black panther,10.0
Civil War,"Adventure, Action, Science Fiction",wow first thing come mind insanely good movie plus introduction black panther,10.0
Civil War,"Adventure, Action, Science Fiction",rewatched upon franchise podcast listen full episode rating captain america civil war rare blockbuster earns massive scale rooting every explosion deeply personal ideological rift find common complaint regarding grey aesthetic largely misguided desaturated grounded palette isnt flaw choice mirror somber concrete reality world hero longer sure morality russo brother demonstrate masterful command overflowing ensemble ensuring even lategame addition like scott lang clint barton arent merely glorified cameo essential texture balance movie political weight muchneeded human perspective film demand taken seriously political thriller refusing offer easy answer central conflict security versus liberty core however movie succeeds understands devastating war arent fought worldending macguffin ghost parent lie tell protect evolution wanda maximoff remains personal highlight elizabeth olsen capture haunting vulnerability serf film emotional anchor turning fear power poignant subtext entire accord debate zemo villain prof single grieving man plan lethal alien army time reach claustrophobic brutal final encounter siberian bunker spectacle ha stripped away leaving raw agonizing destruction friendship haunting perfectly calibrated tragedy remains gold standard shareduniverse storytelling,10.0
The Avengers,"Science Fiction, Action, Adventure",movie like wonder otherwise main character work together support story problem might expected r downey jr come across largely central still good mix imho best scene movie involve generated hulk character kind successful melding character hollywoodscale ego even computer generated character give writer director make successful film,8.0
The Avengers,"Science Fiction, Action, Adventure",new favourite marvel cinematic universe film undoubtedly order go thusly avenger iron man thor captain america iron man incredible hulk privilege going sydney watching almost full three week american release special advance screening fan handful critic drove back day trip mate hrv spent u worth think perhaps expectation avenger high fact know even feel almost managed meet two fear epic quashed without doubt initially wa worried mark ruffalo helming role hulkbruce banner taking edward norton wa ousted first appearance complaint completely unfounded however mark ruffalo present u least good marvel hero term entertainment avenger one greatest feat ever produced screening went actually missed couple line due fact entire bloody cinema wa hysteric classic joss whedon director buffy angel firefly dollhouse humour squabble larger life character quite peak jon favreaus iron man iron man sit term film general better interaction ive ever seen weak point really whinge quite minor perhaps rectified mcu future firstly thor return earth whilst brilliantly dramatic pretty wa quite weak term exposition said isnt thor movie dont need know everything happens also next year thor possible well discover specific detail first scene return secondly loki army also came across quite weakly case marvel aficionado crowd wont spoil telling theyre supposed general whole army wa essentially meat shield used bump scene avenger get kick enjoyable part film one doesnt really drive story feel way adequately describe much need see movie cinema understand know aware much fucking hate concept bluray going buy bluray player hd television bluray disc get special feature avenger released never even considered thing avenger doesnt get mind rape best way possible like revolver donnie darko doesnt get gut turn nostalgic violence like brilliance doomsday outpost get heart leaf wanting needing long live mcu gimly,9.0
The Avengers,"Science Fiction, Action, Adventure",one movie actually make feel like kid joss whedon wa perfect filmmaker film everyone get time shine script juggle every plot point character moment clarity ease funny smart visually jaw dropping definitely lived five movie hype,8.0
The Avengers,"Science Fiction, Action, Adventure",give star based better trailer hype made thing would also wa first time anything size scope marvel cinematic universe wa pulled successfully joss direct movie life dy character interaction movie definitive list opinion even,8.5
